post_id,platform,content_type,topic,language,region,post_datetime,hashtags,views,likes,comments,shares,engagement_rate,sentiment_score,is_viral
SM_100000,Instagram,text,Sports,ur,UK,2024-12-10 00:00:00,#tech #funny #music,2319102,122058,15800,861,0.0598,0.464,1
SM_100001,Instagram,carousel,Sports,ur,Brazil,2024-10-13 00:00:00,#news #fyp #funny #ai #trending,2538464,110368,11289,54887,0.0695,-0.8,1
SM_100002,YouTube Shorts,video,Technology,ur,UK,2024-05-03 00:00:00,#ai #news,1051176,87598,47196,44132,0.1702,0.416,0
SM_100003,X,text,Politics,ur,US,2024-08-04 00:00:00,#ai #funny,5271440,329465,774,59736,0.074,0.877,1
SM_100004,YouTube Shorts,text,Education,es,US,2024-03-28 00:00:00,#news #ai #viral #funny #fyp,3186256,199141,5316,83105,0.0903,0.223,1
SM_100005,Instagram,carousel,Sports,hi,Brazil,2024-11-01 00:00:00,#tech #music,6513472,465248,27485,25659,0.0796,-0.907,1
SM_100006,X,text,Education,hi,UK,2024-06-09 00:00:00,#tech #ai,65481,2847,194,84655,1.3393,-0.235,0
SM_100007,X,text,Technology,es,Pakistan,2024-07-26 00:00:00,#trending #tech #news,2961423,329047,31556,11395,0.1256,0.215,1
SM_100008,YouTube Shorts,text,Sports,es,Pakistan,2024-03-03 00:00:00,#music #tech #news #trending,3916736,489592,14507,87314,0.151,0.884,1
SM_100009,YouTube Shorts,video,Politics,en,US,2024-10-05 00:00:00,#music #trending #ai #viral #news,3116477,239729,8438,43002,0.0934,-0.968,1
SM_100010,X,text,Entertainment,hi,India,2024-11-12 00:00:00,#trending #fyp #news,3034812,252901,23488,48556,0.1071,-0.931,1
SM_100011,Instagram,text,Technology,fr,US,2024-01-17 00:00:00,#news #trending #viral,1763894,80177,35925,92068,0.118,0.325,0
SM_100012,YouTube Shorts,image,Technology,fr,Brazil,2024-01-01 00:00:00,#ai #fyp #viral #trending #tech,7324226,281701,1026,77190,0.0491,0.093,1
SM_100013,YouTube Shorts,video,Technology,ur,India,2024-05-07 00:00:00,#viral #trending #music #tech,3782438,171929,9697,45759,0.0601,0.55,1
SM_100014,TikTok,text,Politics,es,Pakistan,2024-09-11 00:00:00,#trending #funny #fyp #news,1574952,196869,37070,92094,0.207,0.196,0
SM_100015,TikTok,video,Technology,en,Brazil,2024-01-29 00:00:00,#tech #trending #funny #music,314118,11634,29132,40398,0.2584,0.042,0
SM_100016,YouTube Shorts,text,Politics,ur,Pakistan,2024-09-15 00:00:00,#news #ai #viral,8212785,483105,24281,23248,0.0646,-0.457,1
SM_100017,Instagram,image,Lifestyle,hi,India,2024-03-15 00:00:00,#ai #viral #funny #trending,271672,9368,21276,12186,0.1577,-0.438,0
SM_100018,YouTube Shorts,video,Technology,ur,Pakistan,2024-03-02 00:00:00,#ai #tech,7635853,401887,39981,38045,0.0628,-0.669,1
SM_100019,Instagram,text,Politics,es,Pakistan,2024-09-03 00:00:00,#trending #news,1374352,49084,40779,2569,0.0673,-0.21,0
SM_100020,YouTube Shorts,carousel,Sports,hi,India,2024-12-16 00:00:00,#music #trending,3078941,133867,48195,5259,0.0608,0.414,1
SM_100021,TikTok,carousel,Lifestyle,fr,Pakistan,2024-01-21 00:00:00,#viral #trending,197204,14086,12671,38661,0.3317,-0.283,0
SM_100022,Instagram,image,Lifestyle,fr,Brazil,2024-05-15 00:00:00,#ai #news,1255056,104588,22667,8393,0.1081,-0.101,0
SM_100023,TikTok,image,Education,fr,UK,2024-02-27 00:00:00,#tech #news #music,8806000,314500,23604,35223,0.0424,0.332,1
SM_100024,YouTube Shorts,carousel,Education,ur,UK,2024-08-12 00:00:00,#tech #fyp,3345769,477967,10970,24539,0.1535,-0.056,1
SM_100025,Instagram,text,Education,en,India,2024-05-11 00:00:00,#tech #funny #ai #music,2628472,375496,8115,79310,0.1761,0.522,1
SM_100026,TikTok,text,Sports,fr,US,2024-01-08 00:00:00,#ai #trending #funny #fyp,1285778,98906,6915,90983,0.1531,0.421,0
SM_100027,YouTube Shorts,carousel,Technology,fr,India,2024-12-10 00:00:00,#news #viral,5038587,219069,23424,50637,0.0582,-0.937,1
SM_100028,YouTube Shorts,image,Politics,es,Pakistan,2024-09-03 00:00:00,#news #funny #music,1989200,248650,41528,54269,0.1732,0.815,0
SM_100029,Instagram,video,Lifestyle,fr,US,2024-10-13 00:00:00,#ai #funny #viral,2013582,105978,6379,56045,0.0836,0.511,1
SM_100030,YouTube Shorts,carousel,Lifestyle,ur,Pakistan,2024-01-29 00:00:00,#music #funny #tech #trending #fyp,3794977,164999,16203,75451,0.0676,-0.678,1
SM_100031,Instagram,image,Sports,en,UK,2024-06-24 00:00:00,#trending #viral #tech #ai,1266865,43685,43694,64045,0.1195,-0.789,0
SM_100032,Instagram,text,Entertainment,ur,UK,2024-10-24 00:00:00,#tech #ai,11719656,488319,29728,69164,0.0501,0.785,1
SM_100033,Instagram,video,Education,en,US,2024-11-21 00:00:00,#fyp #trending,4131162,153006,18052,26106,0.0477,0.792,1
SM_100034,Instagram,carousel,Education,en,UK,2024-05-07 00:00:00,#tech #ai #music,1286498,44362,23781,30081,0.0763,0.295,0
SM_100035,TikTok,image,Entertainment,es,India,2024-01-01 00:00:00,#viral #fyp #funny #music,965636,137948,27256,55017,0.2281,-0.986,0
SM_100036,Instagram,video,Entertainment,fr,UK,2024-11-10 00:00:00,#ai #trending #music #viral #news,198531,22059,5535,94857,0.6168,0.385,0
SM_100037,YouTube Shorts,video,Lifestyle,hi,UK,2024-09-22 00:00:00,#news #ai,354770,13645,668,34767,0.1383,-0.562,0
SM_100038,Instagram,video,Lifestyle,ur,Brazil,2024-04-25 00:00:00,#viral #trending #fyp,1654560,68940,46581,39354,0.0936,-0.506,0
SM_100039,Instagram,image,Politics,en,Pakistan,2024-03-16 00:00:00,#news #funny,1373778,65418,44422,89475,0.1451,-0.704,0
SM_100040,TikTok,text,Technology,fr,US,2024-03-07 00:00:00,#funny #tech #fyp #music #ai,1542306,257051,27733,26737,0.202,0.005,0
SM_100041,YouTube Shorts,text,Technology,fr,Brazil,2024-09-22 00:00:00,#ai #trending #funny #music,1872125,374425,859,90085,0.2486,0.269,0
SM_100042,TikTok,video,Lifestyle,en,India,2024-03-06 00:00:00,#tech #news,1778890,177889,21561,50860,0.1407,-0.516,0
SM_100043,TikTok,text,Sports,fr,US,2024-06-11 00:00:00,#ai #trending #news #viral,705670,70567,32975,12689,0.1647,-0.264,0
SM_100044,X,carousel,Technology,ur,UK,2024-03-26 00:00:00,#news #funny #music #ai #viral,11580374,445399,40550,65734,0.0476,0.072,1
SM_100045,X,video,Education,en,UK,2024-01-17 00:00:00,#news #music #ai,4457271,342867,22676,25185,0.0877,-0.358,1
SM_100046,TikTok,text,Technology,en,UK,2024-06-03 00:00:00,#tech #funny #ai,1242312,51763,15713,91907,0.1283,-0.348,0
SM_100047,YouTube Shorts,carousel,Technology,fr,India,2024-04-05 00:00:00,#tech #music #news #ai,2590881,112647,6551,34755,0.0594,-0.303,1
SM_100048,TikTok,carousel,Politics,en,US,2024-01-20 00:00:00,#funny #news,2302930,460586,18232,8681,0.2117,-0.205,1
SM_100049,TikTok,video,Technology,ur,US,2024-02-14 00:00:00,#funny #viral #trending #ai #tech,1098930,219786,35158,11112,0.2421,0.351,0
SM_100050,X,carousel,Entertainment,hi,Brazil,2024-04-20 00:00:00,#fyp #news #tech #ai,6537608,466972,39389,47255,0.0847,-0.484,1
SM_100051,YouTube Shorts,image,Education,ur,US,2024-11-12 00:00:00,#funny #ai #tech #news,8963523,309087,31070,90736,0.0481,0.033,1
SM_100052,X,video,Lifestyle,fr,US,2024-04-17 00:00:00,#news #funny #fyp,7474320,373716,2054,31617,0.0545,0.931,1
SM_100053,TikTok,image,Sports,hi,Brazil,2024-07-03 00:00:00,#trending #viral,7645752,283176,29860,61435,0.049,-0.322,1
SM_100054,TikTok,video,Politics,es,Pakistan,2024-01-30 00:00:00,#trending #fyp #tech,7602040,380102,42647,15152,0.0576,0.794,1
SM_100055,X,text,Entertainment,es,India,2024-02-27 00:00:00,#trending #news #fyp #tech #ai,95925,6395,12188,29300,0.4992,0.871,0
